idmembers,surname,first_name,role
3,Angot,"(Charles) Alfred",President
126,Wallén,"Axel Wilhelm",Secretary
97,Rey,Pierre,Secretary
126,Wallén,"Axel Wilhelm",President
107,Schmidt,"Wilhelm Mathäus",Secretary
20,Braak,Cornelis,Secretary
107,Schmidt,"Wilhelm Mathäus",President
20,Braak,Cornelis,President
48,Geiger,Rudolf,Secretary
115,Sinelshikov,"Victor Vasilyevich",President
39,Feige,Rudolf,Vice-President
